"id","class_id","instructor","section_id","section_type","meeting_time","start_time","end_time","location","course_id","day"
4840,82498,"Linton E Powell","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",135,"TBA"
4841,82499,"Linton E Powell","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",136,"TBA"
4842,82501,"Linton E Powell","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",137,"TBA"
4843,82502,"Linton E Powell","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",138,"TBA"
4844,82513,"Emily J Yates","001                 ","PRA                 ","08/27/2015 - 12/09/2015","15:00:00","16:50:00","FA  309",139,"We"
4845,87024,"George Chave","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",140,"TBA"
4846,82514,"Micah Hayes","001                 ","LEC                 ","08/27/2015 - 12/09/2015","14:00:00","15:20:00","FA  404",141,"TuTh"
4847,89724,"Ronald B Montgomery","001                 ","LAB                 ","08/27/2015 - 12/09/2015","12:30:00","13:20:00","FA  311",142,"TuTh"
4848,89913,"Jack A Unzicker","011                 ","PRA                 ","08/27/2015 - 12/09/2015",,,"TBA",143,"TBA"
4849,89807,"Micah Hayes","001                 ","IND                 ","08/27/2015 - 12/09/2015",,,"TBA",144,"TBA"
4850,89751,"Karen Kenaston-French","041                 ","IND                 ","08/27/2015 - 12/09/2015",,,"TBA",145,"TBA"
4851,90743,"Kenneth M Edwards","125                 ","IND                 ","08/27/2015 - 12/09/2015",,,"TBA",145,"TBA"
4852,82517,"Diane M Lange","001                 ","LEC                 ","08/27/2015 - 12/09/2015","11:00:00","11:50:00","SH  125",146,"MoWeFr"
4853,83664,"Diane M Lange","001                 ","PRA                 ","08/27/2015 - 12/09/2015",,,"TBA",147,"TBA"
4854,83761,"Kenneth M Edwards","001                 ","PRA                 ","08/27/2015 - 12/09/2015","15:00:00","15:50:00","FA  367D",148,"TuTh"
4855,90732,"Michael J Drake","002                 ","PRA                 ","08/27/2015 - 12/09/2015","15:00:00","15:50:00","FA  367G",148,"TuTh"
4856,82518,"Jing Ling Tam","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",149,"TBA"
4857,82519,"Soo Hong Kim","002                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",149,"TBA"
4858,82520,"David C Grogan","003                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",149,"TBA"
4859,82521,"Ronald B Montgomery","004                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",149,"TBA"
4860,83740,"Jennifer O Ciobanu","005                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",149,"TBA"
4861,82537,"Jing Ling Tam","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",150,"TBA"
4862,82538,"Soo Hong Kim","002                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",150,"TBA"
4863,82539,"David C Grogan","003                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",150,"TBA"
4864,82540,"Ronald B Montgomery","004                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",150,"TBA"
4865,82541,"John Solomons","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",151,"TBA"
4866,82542,"Young-Hyun Cho","002                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",151,"TBA"
4867,82543,"John Solomons","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",152,"TBA"
4868,82544,"Young-Hyun Cho","002                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",152,"TBA"
4869,82545,"Martha Walvoord","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",153,"TBA"
4870,82546,"Cathy Forbes","002                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",153,"TBA"
4871,82547,"Keira Fullerton","003                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",153,"TBA"
4872,82548,"Jack A Unzicker","004                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",153,"TBA"
4873,82549,"Sergio Espinosa","005                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",153,"TBA"
4874,85140,"Samuel M Walker","006                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",153,"TBA"
4875,82550,"Martha Walvoord","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",154,"TBA"
4876,82551,"Cathy Forbes","002                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",154,"TBA"
4877,82552,"Keira Fullerton","003                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",154,"TBA"
4878,82553,"Jack A Unzicker","004                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",154,"TBA"
